Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
12/28/20,11:00,31.723,21.16,26.40
12/28/20,13:23,43.098,11.14,5.94
12/28/20,13:35,32.841,30.17,29.02
12/28/20,14:05,33.082,28.75,33.03
12/28/20,14:09,31.757,31.79,35.19
12/28/20,14:15,33.897,27.19,28.12
12/28/20,14:18,31.357,39.13,37.70
12/28/20,14:57,40.026,20.37,33.49
12/28/20,15:05,33.491,17.19,28.21
12/28/20,15:50,28.073,25.49,27.53
12/28/20,15:56,31.143,28.93,36.81
12/28/20,16:01,26.49,36.83,32.16
12/28/20,16:06,51.403,14.41,34.88
12/28/20,16:11,34.248,25.09,9.15
12/28/20,16:16,42.349,22.65,7.43
12/28/20,16:21,78.411,20.64,7.45
12/28/20,16:26,37.269,20.16,7.61
12/28/20,16:31,48.16,26.11,33.48
12/28/20,16:41,45.142,18.03,32.42
12/28/20,16:46,34.395,25.07,31.56
12/28/20,16:46,54.76,22.57,35.22
12/28/20,16:51,41.829,12.09,21.69
12/28/20,16:56,29.213,24.77,27.34
12/28/20,17:01,31.299,21.05,31.30
